index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,4581587,4554390,4563342,1700494188,2.6906,2.71635,2.71603,BinarySearch,512
DynamicPGM,5238595,5220650,5290825,1705154448,2.7399,2.78683,2.78302,BinarySearch,64
DynamicPGM,5071275,5070890,5046281,1702518268,2.75139,2.82168,2.82922,BinarySearch,128
LIPP,10743385,8164720,5281211,12656662928,1.15388,2.33596,1.78132
HybridPGMLIPP,10791426,7719974,6805332,12654548456,1.17175,1.5215,1.75896,flush_bps,10
HybridPGMLIPP,6280712,5396805,6408151,12635361492,1.80861,1.78078,1.64405,flush_bps,50
HybridPGMLIPP,5336970,5266932,6692753,12603367236,2.17408,1.74824,1.82984,flush_bps,100
