index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,4632209,4628135,4621865,1700504528,0.755734,0.760306,0.757097,BinarySearch,512
DynamicPGM,5309139,5325114,5338125,1705226028,0.810448,0.843494,0.80544,BinarySearch,64
DynamicPGM,5175982,5136161,5138606,1702558388,0.813612,0.810804,0.815925,BinarySearch,128
LIPP,11256318,8675790,6219454,12700946864,13.392,7.59311,8.31789
HybridPGMLIPP,10855088,7529987,5706757,12700921768,0.859098,1.14066,1.04298,flush_bps,10
HybridPGMLIPP,5587825,4962402,5821224,12687700704,1.06871,1.0992,0.911793,flush_bps,50
HybridPGMLIPP,5634349,6003164,6206125,12687700704,0.942303,0.868665,0.906579,flush_bps,100
