dataset,dataset_label,workload,workload_short_label,workload_long_label,index_name,metric_name,avg_metric,std_metric,index_size_bytes,search_method,value
osmc,OSMC,lookup_only,Lookup-only,Lookup-only throughput,BTree,lookup_throughput_mops,2.06324,0.01247093420718753,1856251088.0,LinearSearch,8
osmc,OSMC,lookup_only,Lookup-only,Lookup-only throughput,DynamicPGM,lookup_throughput_mops,1.80427,0.12256847555550324,1716194548.0,LinearSearch,16
osmc,OSMC,lookup_only,Lookup-only,Lookup-only throughput,LIPP,lookup_throughput_mops,307.0953333333333,33.5027533230065,20628848672.0,,
osmc,OSMC,insert_throughput,Insert throughput (50/50),"Insert throughput, 50% insert / 50% lookup",BTree,insert_throughput_mops,1.0317553333333334,0.07068407913777724,2197517688.0,LinearSearch,8
osmc,OSMC,insert_throughput,Insert throughput (50/50),"Insert throughput, 50% insert / 50% lookup",DynamicPGM,insert_throughput_mops,5.331676666666667,0.06485815154799159,1700238628.0,LinearSearch,1024
osmc,OSMC,insert_throughput,Insert throughput (50/50),"Insert throughput, 50% insert / 50% lookup",LIPP,insert_throughput_mops,0.9331856666666667,0.47324255280235406,20507817984.0,,
osmc,OSMC,post_insert_lookup,Lookup after insert (50/50),"Post-insert lookup throughput, 50% insert / 50% lookup",BTree,lookup_throughput_mops,1.8261666666666667,0.07314038662432375,2197517688.0,LinearSearch,8
osmc,OSMC,post_insert_lookup,Lookup after insert (50/50),"Post-insert lookup throughput, 50% insert / 50% lookup",DynamicPGM,lookup_throughput_mops,0.455163,0.010015509173277216,1700238628.0,BinarySearch,1024
osmc,OSMC,post_insert_lookup,Lookup after insert (50/50),"Post-insert lookup throughput, 50% insert / 50% lookup",LIPP,lookup_throughput_mops,253.16813333333334,141.91265525680066,20507817984.0,,
osmc,OSMC,mixed_10_insert,Mixed throughput (10% insert),"Mixed throughput, 10% insert",BTree,mixed_throughput_mops,1.64068,0.01646728473873776,1956120768.0,LinearSearch,8
osmc,OSMC,mixed_10_insert,Mixed throughput (10% insert),"Mixed throughput, 10% insert",DynamicPGM,mixed_throughput_mops,0.9482856666666667,0.0038468804966564265,1703719788.0,BinarySearch,64
osmc,OSMC,mixed_10_insert,Mixed throughput (10% insert),"Mixed throughput, 10% insert",LIPP,mixed_throughput_mops,10.447483333333333,1.1232963331888672,20602887232.0,,
osmc,OSMC,mixed_90_insert,Mixed throughput (90% insert),"Mixed throughput, 90% insert",BTree,mixed_throughput_mops,1.0463266666666666,0.0005603768573221173,2365596448.0,LinearSearch,8
osmc,OSMC,mixed_90_insert,Mixed throughput (90% insert),"Mixed throughput, 90% insert",DynamicPGM,mixed_throughput_mops,2.663473333333333,0.005890072627358394,1701839508.0,BinarySearch,128
osmc,OSMC,mixed_90_insert,Mixed throughput (90% insert),"Mixed throughput, 90% insert",LIPP,mixed_throughput_mops,1.62141,0.25843088476418596,20408967088.0,,
