,BTree,DynamicPGM,LIPP
fb,1.0822366666666665,2.7992233333333334,2.157996666666667
osmc,1.0463266666666666,2.6634733333333336,1.6214099999999998
books,1.05841,2.9719199999999995,2.8547933333333333
