index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,27293973,26872713,26837537,1700920428,0.148921,0.149324,0.148813,BinarySearch,256
DynamicPGM,27588160,27586565,27585069,1703719788,0.145663,0.145242,0.144862,BinarySearch,64
DynamicPGM,27265715,27212682,27216639,1701834168,0.142855,0.142398,0.142661,BinarySearch,128
LIPP,25027322,19604021,17313794,20602887136,2.15469,2.33265,2.126
HybridPGMLIPP,26072094,19520191,17228697,20602652576,0.450445,0.447228,0.448818,strategy,ExponentialSearch-e64-t25-m16384-b64
HybridPGMLIPP,17306398,25494159,17965390,20602652576,0.407041,0.376779,0.407204,strategy,BinarySearch-e128-t50-m32768-b32
HybridPGMLIPP,23176965,18479499,17508035,20602652576,0.373142,0.401666,0.406453,strategy,InterpolationSearch-e128-t25-m32768-b64
