index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,26511058,26017173,25941432,1700494188,0.388307,0.400525,0.404719,BinarySearch,512
DynamicPGM,29527487,29505817,29555394,1705154448,0.397598,0.399189,0.399522,BinarySearch,64
DynamicPGM,28886399,28879565,28935174,1702518268,0.398627,0.395983,0.399538,BinarySearch,128
LIPP,17626248,13563978,11597371,12656662928,1.46566,1.59649,1.63128
HybridPGMLIPP,17873248,14343561,11747380,12650407672,0.446713,0.354308,0.454133,strategy,BinarySearch-e64-t50-m131072-b16
HybridPGMLIPP,11618492,11594274,11567850,12641882000,0.423421,0.425352,0.422746,strategy,BinarySearch-e128-t100-m262144-b8
HybridPGMLIPP,11588087,11744732,11653165,12650407672,0.456278,0.452657,0.453834,strategy,ExponentialSearch-e128-t50-m131072-b16
