index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,26476734,26429612,26404570,1700923408,0.357371,0.361533,0.361789,BinarySearch,256
DynamicPGM,27105856,27104777,27161195,1703724028,0.359229,0.361475,0.357304,BinarySearch,64
DynamicPGM,27111818,26954176,26870991,1701839508,0.358097,0.358069,0.358553,BinarySearch,128
LIPP,25129182,19685460,23589934,20408967104,1.14984,1.2694,0.852956
HybridPGMLIPP,24880939,19521456,18591779,20402463448,0.403432,0.423783,0.380024,strategy,BinarySearch-e64-t50-m131072-b16
HybridPGMLIPP,21539480,18491936,17643155,20393478176,0.354451,0.383722,0.375088,strategy,BinarySearch-e128-t100-m262144-b8
HybridPGMLIPP,19980398,18089944,20219499,20402463448,0.384649,0.399618,0.388583,strategy,ExponentialSearch-e128-t50-m131072-b16
