index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,21632692,21693905,22182107,1703241188,0.349459,0.353091,0.350889,LinearSearch,32
DynamicPGM,16081289,16164094,15888557,1700049408,0.397083,0.388439,0.393481,InterpolationSearch,128
DynamicPGM,15190501,15753516,15087066,1700011168,0.404548,0.408024,0.404193,InterpolationSearch,256
LIPP,19088560,14953156,13083196,11753611888,0.87248,1.69575,0.969267
HybridPGMLIPP,18934347,15527495,15166523,11750042232,0.388281,0.449438,0.445168,strategy,BinarySearch-e64-t50-m131072-b16
HybridPGMLIPP,14080929,14636762,16541839,11745099040,0.386371,0.348041,0.284039,strategy,BinarySearch-e128-t100-m262144-b8
HybridPGMLIPP,17033953,13308794,13001208,11750042232,0.329619,0.446596,0.468852,strategy,ExponentialSearch-e128-t50-m131072-b16
