index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,21970627,21525933,21461821,1703429848,0.118563,0.124992,0.124627,LinearSearch,32
DynamicPGM,15851700,15851178,15862099,1700049908,0.15714,0.15796,0.157478,InterpolationSearch,128
DynamicPGM,15238148,15270051,15249672,1700010848,0.153702,0.154057,0.155115,InterpolationSearch,256
LIPP,18768118,15633202,14552935,11818525760,2.90047,3.12799,3.17861
HybridPGMLIPP,19684685,15705194,12822010,11818401600,0.273999,0.460007,0.457138,strategy,ExponentialSearch-e64-t25-m16384-b64
HybridPGMLIPP,13923475,12621898,12638165,11818401600,0.414479,0.414105,0.414189,strategy,BinarySearch-e128-t50-m32768-b32
HybridPGMLIPP,15620658,12961241,16603644,11818401600,0.397056,0.408579,0.369837,strategy,InterpolationSearch-e128-t25-m32768-b64
