index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,26911213,26370374,26385345,1700504528,0.153111,0.15298,0.153174,BinarySearch,512
DynamicPGM,30032777,29968373,29966024,1705226028,0.155397,0.156698,0.1557,BinarySearch,64
DynamicPGM,29338913,29325064,29346766,1702558388,0.152919,0.15267,0.152386,BinarySearch,128
LIPP,17343470,13936387,12256731,12700946864,2.50962,2.93359,2.94498
HybridPGMLIPP,17559597,14151851,12560196,12700725744,0.431204,0.451366,0.4512,strategy,ExponentialSearch-e64-t25-m16384-b64
HybridPGMLIPP,13827026,14766257,12820403,12700725744,0.341104,0.380719,0.369816,strategy,BinarySearch-e128-t50-m32768-b32
HybridPGMLIPP,13704855,11944397,15423824,12700725744,0.399114,0.400331,0.303814,strategy,InterpolationSearch-e128-t25-m32768-b64
