index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,10433032,7243737,6187912,12656662928,1.43767,2.59822,2.4381
BTree,1034562,1032664,1027093,2365596448,1.06402,1.06817,1.06914,LinearSearch,8
BTree,606132,590297,576319,2762897224,0.736973,0.742045,0.740448,InterpolationSearch,10
BTree,1065774,1054173,1051587,2513462456,1.0864,1.07938,1.08093,LinearSearch,6
DynamicPGM,4537037,4480053,4472810,1700494188,2.6883,2.73171,2.69562,BinarySearch,512
DynamicPGM,5236214,5274522,5266306,1705154448,2.7638,2.7842,2.68027,BinarySearch,64
DynamicPGM,4968668,4982757,4980802,1702518268,2.78605,2.80024,2.81138,BinarySearch,128
