index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,10651238,7564437,5528497,11818525760,13.1018,20.6338,18.8438
BTree,1025411,1010667,977755,1956120768,1.44622,1.47172,1.51225,LinearSearch,8
BTree,381521,375963,377971,1881906544,1.04928,0.984952,1.02306,InterpolationSearch,10
BTree,319026,305901,304567,2263536584,1.11675,1.13649,1.05915,InterpolationSearch,12
DynamicPGM,3975251,3948091,3907710,1703429848,0.936933,0.93379,0.934427,LinearSearch,32
DynamicPGM,3137771,3138364,3136776,1700049908,0.816333,0.806611,0.809453,InterpolationSearch,128
DynamicPGM,3038056,3049620,3037736,1700010848,0.799357,0.795009,0.790701,InterpolationSearch,256
