index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,10669558,7532719,5751629,11785926480,1.33434,354.646,2.94816,357.063,2.59056,364.609
BTree,787789,775054,790711,2441636976,0.64961,1.13205,0.643745,1.13415,0.648668,1.14248,InterpolationSearch,10
BTree,986097,561056,486961,2197517688,1.1401,1.56502,0.989025,1.58452,1.1237,1.56578,LinearSearch,8
BTree,568932,573223,568664,3079164936,0.770358,1.25163,0.77271,1.25313,0.761026,1.27491,InterpolationSearch,12
DynamicPGM,3079604,3050772,3028881,1700010928,5.84538,0.510237,6.12781,0.500359,5.97276,0.520989,InterpolationSearch,256
DynamicPGM,3100297,3126761,3116416,1700049488,6.05779,0.527573,6.0457,0.51358,6.03795,0.511369,InterpolationSearch,128
DynamicPGM,2977425,2993045,3018211,1700003108,6.12171,0.532078,6.12387,0.53166,6.12542,0.527145,InterpolationSearch,512
