index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,15089539,10161840,10341414,20628848672,354.016,277.935,289.335
BTree,1338588,1300591,1299402,2125000432,1.90159,1.92599,1.93981,LinearSearch,6
BTree,908820,911977,910954,1856251088,2.08073,2.05646,2.05253,LinearSearch,8
BTree,695007,696038,708115,1600535632,1.55086,1.52816,1.37802,BinarySearch,18
DynamicPGM,5572375,5580994,5514013,1716194548,1.70905,1.69936,1.7046,BinarySearch,16
DynamicPGM,5223754,5193755,5215349,1707696288,1.67289,1.65615,1.31008,BinarySearch,32
DynamicPGM,5783187,5673004,5613955,1716194548,1.63181,1.87541,1.90559,LinearSearch,16
