index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,10615450,7501427,5568418,11753613200,1.86611,3.23299,3.46528
BTree,1010840,1014223,987844,2365596448,1.05768,1.06651,1.05104,LinearSearch,8
BTree,584022,571982,575644,2762897224,0.801871,0.776396,0.784593,InterpolationSearch,10
BTree,494331,513568,506119,3159460608,0.834415,0.836675,0.836176,InterpolationSearch,12
DynamicPGM,3861295,3837310,3839393,1703241188,2.9284,3.0001,2.98726,LinearSearch,32
DynamicPGM,3067396,3089462,3078205,1700049408,2.73548,2.7313,2.78831,InterpolationSearch,128
DynamicPGM,3030367,3019841,3030343,1700011168,2.72594,2.73822,2.59654,InterpolationSearch,256
