index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,14758571,10084883,14421332,20602887232,9.71298,9.59487,12.0346
BTree,1047886,1024099,980377,1956120768,1.63154,1.6267,1.6638,LinearSearch,8
BTree,808790,825945,862671,2197286800,1.52987,1.47748,1.46206,LinearSearch,6
BTree,532617,829055,484378,1881906544,0.872358,1.20893,1.36687,LinearAVX,10
DynamicPGM,4832847,4810823,4820054,1700920428,0.904254,0.911576,0.884256,BinarySearch,256
DynamicPGM,5009201,5022875,5002639,1703719788,0.943124,0.952355,0.949378,BinarySearch,64
DynamicPGM,4912319,4910184,4914082,1701834168,0.93494,0.933858,0.945521,BinarySearch,128
