index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,10664373,7585601,5282335,11825518832,359.44,363.343,361.268
BTree,1320496,1301245,1309559,2125000432,1.51646,1.42293,1.55336,LinearSearch,6
BTree,921179,924402,910211,1856251088,1.67729,1.70765,1.6841,LinearSearch,8
BTree,686344,697741,701975,1601106264,1.6605,1.68105,1.67086,InterpolationSearch,16
DynamicPGM,5221125,5208214,5159182,1719163668,1.79804,1.68985,1.75525,BinarySearch,16
DynamicPGM,5178870,5142168,5167842,1719163668,2.02475,1.79512,2.02117,LinearSearch,16
DynamicPGM,3901757,3895924,3896151,1703456888,1.69737,1.77865,1.78283,BinarySearch,32
