index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,10552135,7312694,6870058,12679095104,0.828636,336.559,1.9466,356.579,1.35952,354.651
BTree,824498,825912,812389,2441636976,0.591865,1.03105,0.601471,1.01518,0.606349,1.00996,InterpolationSearch,10
BTree,759494,764974,759512,3079164936,0.673588,0.952171,0.674614,1.04426,0.656606,1.00142,InterpolationSearch,12
BTree,1018959,571350,490779,2197517688,1.08932,1.53364,0.968933,1.51293,1.11838,1.58996,LinearSearch,8
DynamicPGM,4541649,4594626,4599033,1700499248,5.88647,0.272671,6.21862,0.275231,6.2168,0.276598,LinearSearch,512
DynamicPGM,4583896,4742439,4707882,1700499248,6.17823,0.486597,6.06796,0.371179,6.11169,0.473688,BinarySearch,512
DynamicPGM,4901074,4942000,4974566,1701187028,6.16512,0.480705,6.21309,0.466771,6.19646,0.465724,ExponentialSearch,256
