index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,10582291,7412802,6107119,12700946864,9.90758,14.1164,16.44
BTree,1071223,1072801,1016191,1956120768,1.43432,1.45642,1.51905,LinearSearch,8
BTree,397016,385014,507466,1881906544,0.97065,0.684201,0.651363,InterpolationSearch,10
BTree,1125337,847775,844030,2197286800,0.720338,1.15526,1.19703,LinearSearch,6
DynamicPGM,4581517,4564825,4579122,1700504528,0.762566,0.771788,0.764735,BinarySearch,512
DynamicPGM,5315188,5342666,5303170,1705226028,0.851096,0.857036,0.840285,BinarySearch,64
DynamicPGM,5116312,5121181,5124633,1702558388,0.821484,0.832777,0.816021,BinarySearch,128
